alias,wbgene
F36A4.7,WBGene00000123
amt-1,WBGene00000133
C05E11.4,WBGene00000133
amt-2,WBGene00000134
F49E11.3,WBGene00000134
amt-3,WBGene00000135
M195.3,WBGene00000135
amt-4,WBGene00000136
C05E11.5,WBGene00000136
amx-1,WBGene00000137
R13G10.2,WBGene00000137
amx-2,WBGene00000138
B0019.1,WBGene00000138
amx-3,WBGene00000139
F25C8.2,WBGene00000139
anc-1,WBGene00000140
ZK973.6,WBGene00000140
aos-1,WBGene00000142
C08B6.9,WBGene00000142
apc-2,WBGene00000143
K06H7.6,WBGene00000143
apc-10,WBGene00000144
F15H10.3,WBGene00000144
apc-11,WBGene00000145
F35G12.9,WBGene00000145
ape-1,WBGene00000146
F46F3.4,WBGene00000146
aph-1,WBGene00000147
VF36H2L.1,WBGene00000147
aph-2,WBGene00000148
ZC434.6,WBGene00000148
apl-1,WBGene00000149
C42D8.8,WBGene00000149
apm-1,WBGene00000150
F55A12.7,WBGene00000150
apn-1,WBGene00000151
T05H10.2,WBGene00000151
app-1,WBGene00000155
W03G9.4,WBGene00000155
apr-1,WBGene00000156
K04G2.8,WBGene00000156
aps-2,WBGene00000157
F02E8.3,WBGene00000157
apg-1,WBGene00000158
Y105E8A.9,WBGene00000158
aps-1,WBGene00000159
F29G9.3,WBGene00000159
apb-1,WBGene00000160
Y71H2B.10,WBGene00000160
apa-2,WBGene00000161
T20B5.1,WBGene00000161
apd-3,WBGene00000162
W09G10.4,WBGene00000162
apb-3,WBGene00000163
R11A5.1,WBGene00000163
apm-3,WBGene00000164
F53H8.1,WBGene00000164
aps-3,WBGene00000165
Y48G8AL.14,WBGene00000165
apt-9,WBGene00000166
W04G3.4,WBGene00000166
apx-1,WBGene00000168
K08D9.3,WBGene00000168
aqp-1,WBGene00000169
F32A5.5,WBGene00000169
aqp-2,WBGene00000170
C01G6.1,WBGene00000170
aqp-3,WBGene00000171
Y69E1A.7,WBGene00000171
aqp-4,WBGene00000172
F40F9.9,WBGene00000172
aqp-5,WBGene00000173
C35A5.1,WBGene00000173
aqp-6,WBGene00000174
C32C4.2,WBGene00000174
aqp-7,WBGene00000175
M02F4.8,WBGene00000175
aqp-8,WBGene00000176
K02G10.7,WBGene00000176
aqp-9,WBGene00000177
K07A1.16,WBGene00000177
aqp-10,WBGene00000178
ZK1321.3,WBGene00000178
aqp-11,WBGene00000179
ZK525.2,WBGene00000179
arc-1,WBGene00000180
ZK1320.6,WBGene00000180
ard-1,WBGene00000181
F01G4.2,WBGene00000181
arf-1,WBGene00000182
B0336.2,WBGene00000182
arf-5,WBGene00000183
F57H12.1,WBGene00000183
arf-6,WBGene00000184
Y116A8C.12,WBGene00000184
arg-1,WBGene00000185
F31A9.3,WBGene00000185
ark-1,WBGene00000186
C01C7.1,WBGene00000186
arl-1,WBGene00000187
F54C9.10,WBGene00000187
arl-3,WBGene00000188
F19H8.3,WBGene00000188
arl-5,WBGene00000189
ZK632.8,WBGene00000189
warf-1,WBGene00000190
F45E4.1,WBGene00000190
arl-7,WBGene00000191
F20D1.5,WBGene00000191
arl-8,WBGene00000192
Y57G11C.13,WBGene00000192
arl-6,WBGene00000193
C38D4.8,WBGene00000193
arr-1,WBGene00000195
F53H8.2,WBGene00000195
aars-1,WBGene00000196
W02B12.6,WBGene00000196
aars-2,WBGene00000197
F28H1.3,WBGene00000197
art-1,WBGene00000198
C15F1.6,WBGene00000198
arx-1,WBGene00000199
Y71F9AL.16,WBGene00000199
arx-2,WBGene00000200
K07C5.1,WBGene00000200
arx-3,WBGene00000201
Y79H2A.6,WBGene00000201
exos-4.2,WBGene00000202
Y6D11A.1,WBGene00000202
arx-5,WBGene00000203
Y37D8A.1,WBGene00000203
arx-6,WBGene00000204
C35D10.16,WBGene00000204
arx-7,WBGene00000205
M01B12.3,WBGene00000205
asb-1,WBGene00000206
F35G12.10,WBGene00000206
asb-2,WBGene00000207
F02E8.1,WBGene00000207
trip-4,WBGene00000208
Y53F4B.15,WBGene00000208
asg-1,WBGene00000209
K07A12.3,WBGene00000209
asg-2,WBGene00000210
C53B7.4,WBGene00000210
asm-1,WBGene00000211
B0252.2,WBGene00000211
asm-2,WBGene00000212
ZK455.4,WBGene00000212
asm-3,WBGene00000213
W03G1.7,WBGene00000213
asp-1,WBGene00000214
Y39B6A.20,WBGene00000214
asp-2,WBGene00000215
T18H9.2,WBGene00000215
asp-3,WBGene00000216
H22K11.1,WBGene00000216
asp-4,WBGene00000217
R12H7.2,WBGene00000217
asp-5,WBGene00000218
F21F8.3,WBGene00000218
