alias,wbgene
srj-24,WBGene00005612
C05E4.11,WBGene00005612
srj-25,WBGene00005613
C05E4.10,WBGene00005613
srj-26,WBGene00005614
ZK262.10,WBGene00005614
srj-27,WBGene00005615
T01G5.3,WBGene00005615
srj-29,WBGene00005616
F22B8.1,WBGene00005616
srj-32,WBGene00005617
F07G11.5,WBGene00005617
srj-33,WBGene00005618
T07C12.1,WBGene00005618
srj-34,WBGene00005619
T07C12.5,WBGene00005619
srj-35,WBGene00005620
T07C12.3,WBGene00005620
srj-37,WBGene00005621
F48G7.1,WBGene00005621
srj-38,WBGene00005622
T02B11.5,WBGene00005622
srj-39,WBGene00005623
F38H12.1,WBGene00005623
srj-40,WBGene00005624
F38H12.2,WBGene00005624
srj-42,WBGene00005625
Y73F8A.3,WBGene00005625
srj-44,WBGene00005626
T03D3.11,WBGene00005626
srj-45,WBGene00005627
T03D3.6,WBGene00005627
srj-49,WBGene00005628
T03D3.12,WBGene00005628
srj-50,WBGene00005629
T03D3.2,WBGene00005629
srj-51,WBGene00005630
C31B8.10,WBGene00005630
srj-52,WBGene00005631
Y49C4A.7,WBGene00005631
srj-53,WBGene00005632
Y49C4A.6,WBGene00005632
srj-54,WBGene00005633
F37B4.11,WBGene00005633
srj-55,WBGene00005634
Y45G12A.1,WBGene00005634
srj-57,WBGene00005635
T03D3.14,WBGene00005635
srm-1,WBGene00005638
T28H11.2,WBGene00005638
srm-2,WBGene00005639
T28H11.3,WBGene00005639
srn-1,WBGene00005640
K12B6.5,WBGene00005640
sro-1,WBGene00005641
D1022.6,WBGene00005641
srp-1,WBGene00005642
C05E4.3,WBGene00005642
srp-2,WBGene00005643
C05E4.1,WBGene00005643
srp-3,WBGene00005644
Y32G9A.4,WBGene00005644
srp-5,WBGene00005646
C03G6.18,WBGene00005646
srp-6,WBGene00005647
C03G6.19,WBGene00005647
srp-7,WBGene00005648
F20D6.4,WBGene00005648
srp-8,WBGene00005649
F20D6.3,WBGene00005649
srp-9,WBGene00005650
F09C6.5,WBGene00005650
srp-10,WBGene00005651
F09C6.4,WBGene00005651
srr-1,WBGene00005652
W07G4.6,WBGene00005652
srr-2,WBGene00005653
T26H2.8,WBGene00005653
srr-3,WBGene00005654
F36D3.3,WBGene00005654
srr-4,WBGene00005655
K11D12.3,WBGene00005655
srr-5,WBGene00005656
C13D9.2,WBGene00005656
srr-6,WBGene00005657
C13D9.1,WBGene00005657
srr-7,WBGene00005658
T01G5.4,WBGene00005658
srr-8,WBGene00005659
C13D9.3,WBGene00005659
srr-9,WBGene00005660
T05B11.2,WBGene00005660
srr-10,WBGene00005661
T05B11.6,WBGene00005661
sars-2,WBGene00005662
W03B1.4,WBGene00005662
sars-1,WBGene00005663
C47E12.1,WBGene00005663
sru-1,WBGene00005664
C33A12.14,WBGene00005664
sru-2,WBGene00005665
C33A12.13,WBGene00005665
sru-3,WBGene00005666
C33A12.11,WBGene00005666
sru-4,WBGene00005667
C33A12.10,WBGene00005667
sru-5,WBGene00005668
C33A12.9,WBGene00005668
sru-6,WBGene00005669
C33A12.8,WBGene00005669
sru-7,WBGene00005670
C28C12.13,WBGene00005670
sru-8,WBGene00005671
R07B5.7,WBGene00005671
sru-9,WBGene00005672
Y45F10B.11,WBGene00005672
sru-10,WBGene00005673
F53B2.9,WBGene00005673
sru-11,WBGene00005674
Y45F10B.6,WBGene00005674
sru-12,WBGene00005675
Y45F10B.5,WBGene00005675
sru-13,WBGene00005676
F53B2.4,WBGene00005676
sru-14,WBGene00005677
T02D1.2,WBGene00005677
sru-15,WBGene00005678
T02D1.3,WBGene00005678
sru-16,WBGene00005679
Y45F10B.4,WBGene00005679
sru-17,WBGene00005680
T04A11.10,WBGene00005680
sru-18,WBGene00005681
T04A11.9,WBGene00005681
sru-19,WBGene00005682
T04A11.8,WBGene00005682
sru-20,WBGene00005683
T04A11.7,WBGene00005683
sru-21,WBGene00005684
C08F11.4,WBGene00005684
sru-22,WBGene00005685
F36G9.5,WBGene00005685
sru-23,WBGene00005686
F36G9.6,WBGene00005686
sru-24,WBGene00005687
F31F4.13,WBGene00005687
sru-25,WBGene00005688
F31F4.14,WBGene00005688
sru-26,WBGene00005689
T04A11.12,WBGene00005689
sru-27,WBGene00005690
C38C3.2,WBGene00005690
sru-28,WBGene00005691
C38C3.1,WBGene00005691
sru-29,WBGene00005692
C50C10.2,WBGene00005692
sru-30,WBGene00005693
C50C10.3,WBGene00005693
sru-31,WBGene00005694
C50C10.4,WBGene00005694
sru-32,WBGene00005695
C50C10.5,WBGene00005695
sru-33,WBGene00005696
C50C10.8,WBGene00005696
sru-34,WBGene00005697
C50C10.9,WBGene00005697
sru-35,WBGene00005698
C33D9.4,WBGene00005698
sru-36,WBGene00005699
R07B5.6,WBGene00005699
sru-37,WBGene00005700
C50C10.1,WBGene00005700
sru-38,WBGene00005701
R07B5.4,WBGene00005701
sru-39,WBGene00005702
F46B6.11,WBGene00005702
sru-40,WBGene00005703
R07B5.3,WBGene00005703
sru-41,WBGene00005704
Y51H7BR.6,WBGene00005704
sru-42,WBGene00005705
C55A1.8,WBGene00005705
sru-43,WBGene00005706
F23B12.2,WBGene00005706
sru-44,WBGene00005707
T08G3.8,WBGene00005707
sru-45,WBGene00005708
Y32B12B.7,WBGene00005708
sru-46,WBGene00005709
C45H4.5,WBGene00005709
sru-47,WBGene00005710
F36D1.3,WBGene00005710
sru-48,WBGene00005711
T03G11.2,WBGene00005711
srv-1,WBGene00005712
R13F6.3,WBGene00005712
srv-2,WBGene00005713
C14A4.15,WBGene00005713
srv-3,WBGene00005714
Y43F8C.19,WBGene00005714
srv-4,WBGene00005715
F15E6.7,WBGene00005715
srv-5,WBGene00005716
F48D6.2,WBGene00005716
srv-6,WBGene00005717
C52B9.5,WBGene00005717
srv-7,WBGene00005718
T22B7.5,WBGene00005718
srv-8,WBGene00005719
F53F1.7,WBGene00005719
srv-9,WBGene00005720
F53F1.8,WBGene00005720
srv-10,WBGene00005721
F53F1.9,WBGene00005721
srv-11,WBGene00005722
H25K10.3,WBGene00005722
srv-12,WBGene00005723
T04B2.4,WBGene00005723
srv-13,WBGene00005724
Y73B6BL.39,WBGene00005724
srv-14,WBGene00005725
Y105C5B.4,WBGene00005725
srv-15,WBGene00005726
Y105C5B.6,WBGene00005726
srv-16,WBGene00005727
Y105C5B.10,WBGene00005727
srv-17,WBGene00005728
C06E7.7,WBGene00005728
srv-18,WBGene00005729
H04M03.5,WBGene00005729
srv-19,WBGene00005730
H04M03.6,WBGene00005730
srv-20,WBGene00005731
H04M03.7,WBGene00005731
srv-21,WBGene00005732
H04M03.8,WBGene00005732
srv-22,WBGene00005733
H04M03.9,WBGene00005733
srv-23,WBGene00005734
H04M03.10,WBGene00005734
srv-24,WBGene00005735
Y73B6BL.10,WBGene00005735
srv-25,WBGene00005736
Y73B6BL.11,WBGene00005736
srv-26,WBGene00005737
Y73B6BL.40,WBGene00005737
srv-27,WBGene00005738
Y73B6BL.41,WBGene00005738
srv-28,WBGene00005739
T13A10.14,WBGene00005739
srv-29,WBGene00005740
T13A10.6,WBGene00005740
srv-30,WBGene00005741
T13A10.7,WBGene00005741
srv-31,WBGene00005742
T13A10.9,WBGene00005742
srv-32,WBGene00005743
T13A10.12,WBGene00005743
ops-1,WBGene00005744
T13A10.13,WBGene00005744
srv-34,WBGene00005745
F13A7.3,WBGene00005745
srv-35,WBGene00005746
F13A7.4,WBGene00005746
srv-36,WBGene00005747
F57G8.8,WBGene00005747
srw-1,WBGene00005748
Y75B12B.7,WBGene00005748
srw-2,WBGene00005749
T03D3.3,WBGene00005749
srw-3,WBGene00005750
ZK105.2,WBGene00005750
srw-4,WBGene00005751
F37B4.8,WBGene00005751
srw-5,WBGene00005752
ZC482.9,WBGene00005752
srw-6,WBGene00005753
H10D18.3,WBGene00005753
srw-7,WBGene00005754
R08F11.5,WBGene00005754
srw-8,WBGene00005755
F59D6.5,WBGene00005755
srw-9,WBGene00005756
ZC482.8,WBGene00005756
srw-10,WBGene00005757
ZC482.6,WBGene00005757
srw-11,WBGene00005758
M01B2.11,WBGene00005758
srw-12,WBGene00005759
C41G6.2,WBGene00005759
srw-13,WBGene00005760
C41G6.15,WBGene00005760
srw-14,WBGene00005761
C41G6.8,WBGene00005761
srw-15,WBGene00005762
C41G6.3,WBGene00005762
srw-16,WBGene00005763
T10H4.5,WBGene00005763
srw-17,WBGene00005764
T10H4.6,WBGene00005764
srw-18,WBGene00005765
T10H4.7,WBGene00005765
srw-19,WBGene00005766
T10H4.8,WBGene00005766
srw-20,WBGene00005767
T05E12.4,WBGene00005767
srw-21,WBGene00005768
C06B8.9,WBGene00005768
srw-22,WBGene00005769
T10H4.3,WBGene00005769
srw-23,WBGene00005770
F49A5.8,WBGene00005770
srw-24,WBGene00005771
C41G6.7,WBGene00005771
srw-25,WBGene00005772
T09F5.14,WBGene00005772
srw-26,WBGene00005773
T05G11.3,WBGene00005773
srw-27,WBGene00005774
T05G11.4,WBGene00005774
srw-28,WBGene00005775
T05G11.5,WBGene00005775
srw-29,WBGene00005776
F26D2.11,WBGene00005776
srw-30,WBGene00005777
K10G4.9,WBGene00005777
srw-31,WBGene00005778
K03D7.2,WBGene00005778
srw-32,WBGene00005779
K03D7.11,WBGene00005779
srw-33,WBGene00005780
T26H5.5,WBGene00005780
srw-34,WBGene00005781
F36D3.13,WBGene00005781
srw-35,WBGene00005782
T08G3.10,WBGene00005782
srw-36,WBGene00005783
F14F8.7,WBGene00005783
srw-37,WBGene00005784
F49H6.7,WBGene00005784
srw-38,WBGene00005785
Y116F11B.5,WBGene00005785
srw-39,WBGene00005786
F19B2.3,WBGene00005786
srw-40,WBGene00005787
Y52E8A.5,WBGene00005787
srw-41,WBGene00005788
F14F8.10,WBGene00005788
srw-42,WBGene00005789
F14F8.11,WBGene00005789
srw-43,WBGene00005790
F14F8.5,WBGene00005790
srw-44,WBGene00005791
F14F8.6,WBGene00005791
srw-45,WBGene00005792
K03D7.10,WBGene00005792
srw-46,WBGene00005793
K10G4.8,WBGene00005793
srw-47,WBGene00005794
K10G4.2,WBGene00005794
srw-48,WBGene00005795
F26D2.9,WBGene00005795
srw-49,WBGene00005796
T26E4.11,WBGene00005796
srw-50,WBGene00005797
M01B2.5,WBGene00005797
srw-51,WBGene00005798
F40D4.8,WBGene00005798
srw-52,WBGene00005799
T05G11.8,WBGene00005799
srw-53,WBGene00005800
T05G11.7,WBGene00005800
srw-54,WBGene00005801
Y32B12C.2,WBGene00005801
srw-55,WBGene00005802
T05G11.6,WBGene00005802
srw-56,WBGene00005803
F36G9.16,WBGene00005803
srw-57,WBGene00005804
F36G9.1,WBGene00005804
srw-58,WBGene00005805
H24D24.2,WBGene00005805
srw-59,WBGene00005806
H24D24.1,WBGene00005806
srw-60,WBGene00005807
T11F1.1,WBGene00005807
srw-61,WBGene00005808
H25K10.7,WBGene00005808
srw-62,WBGene00005809
T05A6.6,WBGene00005809
srw-63,WBGene00005810
Y37A1B.10,WBGene00005810
srw-64,WBGene00005811
Y43B11AL.3,WBGene00005811
srw-65,WBGene00005812
Y38H6C.2,WBGene00005812
srw-66,WBGene00005813
Y57G7A.4,WBGene00005813
srw-67,WBGene00005814
F18E3.2,WBGene00005814
srw-68,WBGene00005815
F18E3.4,WBGene00005815
srw-69,WBGene00005816
F18E3.5,WBGene00005816
srw-70,WBGene00005817
ZK1037.7,WBGene00005817
srw-71,WBGene00005818
F18E3.6,WBGene00005818
srw-72,WBGene00005819
F20E11.6,WBGene00005819
srw-73,WBGene00005820
T03E6.6,WBGene00005820
srw-74,WBGene00005821
Y68A4A.11,WBGene00005821
srw-75,WBGene00005822
W06G6.13,WBGene00005822
srw-76,WBGene00005823
W06G6.6,WBGene00005823
srw-77,WBGene00005824
W06G6.8,WBGene00005824
srw-78,WBGene00005825
F18E3.9,WBGene00005825
srw-79,WBGene00005826
T11F1.5,WBGene00005826
srw-80,WBGene00005827
T04H1.10,WBGene00005827
srw-81,WBGene00005828
Y51A2B.7,WBGene00005828
srw-82,WBGene00005829
ZK262.7,WBGene00005829
srw-83,WBGene00005830
ZK262.6,WBGene00005830
srw-84,WBGene00005831
Y43F8A.4,WBGene00005831
srw-85,WBGene00005832
C25F9.1,WBGene00005832
srw-86,WBGene00005833
C25F9.7,WBGene00005833
srw-87,WBGene00005834
F57G8.4,WBGene00005834
srw-88,WBGene00005835
T06G6.7,WBGene00005835
srw-89,WBGene00005836
K09D9.13,WBGene00005836
srw-90,WBGene00005837
Y46H3C.3,WBGene00005837
srw-91,WBGene00005838
K04F1.4,WBGene00005838
srw-92,WBGene00005839
F32A7.1,WBGene00005839
srw-93,WBGene00005840
F32A7.2,WBGene00005840
srw-94,WBGene00005841
H06H21.1,WBGene00005841
srw-95,WBGene00005842
H06H21.2,WBGene00005842
srw-96,WBGene00005843
K04F1.2,WBGene00005843
srw-97,WBGene00005844
ZC204.15,WBGene00005844
srw-98,WBGene00005845
K04F1.3,WBGene00005845
srw-99,WBGene00005846
Y46H3C.2,WBGene00005846
srw-100,WBGene00005847
Y46H3C.1,WBGene00005847
srw-101,WBGene00005848
ZK697.13,WBGene00005848
srw-102,WBGene00005849
ZK697.12,WBGene00005849
srw-103,WBGene00005850
ZK697.5,WBGene00005850
srw-104,WBGene00005851
R11G11.8,WBGene00005851
srw-105,WBGene00005852
R11G11.10,WBGene00005852
srw-106,WBGene00005853
R11G11.11,WBGene00005853
srw-107,WBGene00005854
R11G11.13,WBGene00005854
srw-108,WBGene00005855
R11G11.5,WBGene00005855
srw-109,WBGene00005856
ZK488.9,WBGene00005856
srw-110,WBGene00005857
ZK488.8,WBGene00005857
srw-111,WBGene00005858
M01G12.4,WBGene00005858
srw-112,WBGene00005859
K12D9.9,WBGene00005859
srw-113,WBGene00005860
ZK1037.9,WBGene00005860
srw-114,WBGene00005861
K12D9.8,WBGene00005861
srw-115,WBGene00005862
K12D9.4,WBGene00005862
srw-116,WBGene00005863
C44C3.10,WBGene00005863
srw-117,WBGene00005864
C44C3.6,WBGene00005864
srw-118,WBGene00005865
C44C3.5,WBGene00005865
srw-119,WBGene00005866
K12D9.7,WBGene00005866
srw-120,WBGene00005867
K12D9.5,WBGene00005867
srw-121,WBGene00005868
K12D9.3,WBGene00005868
srw-122,WBGene00005869
H27D07.5,WBGene00005869
srw-123,WBGene00005870
C44C3.11,WBGene00005870
srw-124,WBGene00005871
C44C3.1,WBGene00005871
srw-125,WBGene00005872
K12D9.6,WBGene00005872
srw-126,WBGene00005873
H05B21.1,WBGene00005873
srw-127,WBGene00005874
C33G8.1,WBGene00005874
srw-128,WBGene00005875
H27D07.1,WBGene00005875
srw-129,WBGene00005876
C44C3.2,WBGene00005876
srw-130,WBGene00005877
T24A6.14,WBGene00005877
srw-131,WBGene00005878
K12D9.13,WBGene00005878
srw-132,WBGene00005879
T05B4.5,WBGene00005879
srw-133,WBGene00005880
T05B4.6,WBGene00005880
srw-134,WBGene00005881
T05B4.7,WBGene00005881
srw-135,WBGene00005882
K12D9.11,WBGene00005882
srw-136,WBGene00005883
K12D9.10,WBGene00005883
srw-137,WBGene00005884
H27D07.4,WBGene00005884
srw-138,WBGene00005885
C44C3.3,WBGene00005885
srw-139,WBGene00005886
C44C3.7,WBGene00005886
srw-140,WBGene00005887
C03A7.3,WBGene00005887
srw-141,WBGene00005888
H27D07.2,WBGene00005888
srw-142,WBGene00005889
H05B21.3,WBGene00005889
srw-143,WBGene00005890
H27D07.3,WBGene00005890
srw-144,WBGene00005891
H05B21.4,WBGene00005891
srx-1,WBGene00005892
F59E11.1,WBGene00005892
srx-2,WBGene00005893
R03H4.2,WBGene00005893
srx-3,WBGene00005894
R03H4.3,WBGene00005894
srx-4,WBGene00005895
Y49C4A.5,WBGene00005895
srx-5,WBGene00005896
Y49C4A.4,WBGene00005896
srx-6,WBGene00005897
F07G11.8,WBGene00005897
srx-7,WBGene00005898
C14C6.1,WBGene00005898
srx-8,WBGene00005899
C14C6.9,WBGene00005899
srx-9,WBGene00005900
R13D7.6,WBGene00005900
srx-10,WBGene00005901
R10D12.4,WBGene00005901
srx-11,WBGene00005902
Y97E10B.6,WBGene00005902
srx-12,WBGene00005903
Y55F3AM.2,WBGene00005903
srx-13,WBGene00005904
C44B12.4,WBGene00005904
srx-14,WBGene00005905
C44B12.8,WBGene00005905
srx-15,WBGene00005906
C53D6.9,WBGene00005906
srx-16,WBGene00005907
T07H8.1,WBGene00005907
srx-17,WBGene00005908
F55B12.8,WBGene00005908
srx-18,WBGene00005909
C47A10.8,WBGene00005909
srx-19,WBGene00005910
T05A12.1,WBGene00005910
srx-20,WBGene00005911
R13H7.1,WBGene00005911
srx-21,WBGene00005912
F31F4.4,WBGene00005912
srx-22,WBGene00005913
F31F4.3,WBGene00005913
srx-23,WBGene00005914
F31F4.2,WBGene00005914
srx-24,WBGene00005915
C24B9.16,WBGene00005915
srx-25,WBGene00005916
C24B9.13,WBGene00005916
srx-26,WBGene00005917
R05D8.4,WBGene00005917
srx-27,WBGene00005918
R05D8.12,WBGene00005918
srx-28,WBGene00005919
R05D8.5,WBGene00005919
srx-29,WBGene00005920
K06B4.9,WBGene00005920
srx-30,WBGene00005921
F41H8.3,WBGene00005921
srx-31,WBGene00005922
F41H8.4,WBGene00005922
srx-32,WBGene00005923
R13D11.9,WBGene00005923
srx-33,WBGene00005924
T01C4.3,WBGene00005924
srx-34,WBGene00005925
T01C4.4,WBGene00005925
srx-35,WBGene00005926
T01C4.5,WBGene00005926
srx-36,WBGene00005927
T01C4.6,WBGene00005927
srx-37,WBGene00005928
T01C4.7,WBGene00005928
srx-38,WBGene00005929
C03A7.5,WBGene00005929
srx-39,WBGene00005930
C03A7.6,WBGene00005930
fbxa-199,WBGene00005931
T06E6.3,WBGene00005931
srx-41,WBGene00005932
F59B1.7,WBGene00005932
srx-42,WBGene00005933
C06B3.11,WBGene00005933
srx-43,WBGene00005934
T10C6.3,WBGene00005934
srx-44,WBGene00005935
T10C6.4,WBGene00005935
srx-45,WBGene00005936
K01B6.2,WBGene00005936
srx-46,WBGene00005937
E02C12.2,WBGene00005937
srx-47,WBGene00005938
E02C12.3,WBGene00005938
srx-48,WBGene00005939
T26H8.2,WBGene00005939
srx-49,WBGene00005940
T26H8.3,WBGene00005940
srx-50,WBGene00005941
Y43B11AL.2,WBGene00005941
srx-51,WBGene00005942
T10H4.9,WBGene00005942
srx-52,WBGene00005943
T27C5.3,WBGene00005943
srx-53,WBGene00005944
T27C5.2,WBGene00005944
srx-54,WBGene00005945
Y102A5C.22,WBGene00005945
srx-55,WBGene00005946
Y102A5C.24,WBGene00005946
srx-56,WBGene00005947
C03G6.2,WBGene00005947
srx-57,WBGene00005948
C03G6.1,WBGene00005948
srx-58,WBGene00005949
C29F3.6,WBGene00005949
srx-59,WBGene00005950
T07H8.3,WBGene00005950
srx-60,WBGene00005951
R13D7.4,WBGene00005951
srx-61,WBGene00005952
T20C7.1,WBGene00005952
srx-62,WBGene00005953
K09D9.10,WBGene00005953
srx-63,WBGene00005954
K07C6.6,WBGene00005954
srx-64,WBGene00005955
K07C6.7,WBGene00005955
srx-65,WBGene00005956
K07C6.8,WBGene00005956
srx-66,WBGene00005957
K07C6.9,WBGene00005957
srx-67,WBGene00005958
K07C6.10,WBGene00005958
srx-68,WBGene00005959
K07C6.11,WBGene00005959
srx-69,WBGene00005960
K07C6.13,WBGene00005960
srx-70,WBGene00005961
K07C6.15,WBGene00005961
srx-71,WBGene00005962
F38B7.6,WBGene00005962
srx-72,WBGene00005963
F38B7.9,WBGene00005963
srx-73,WBGene00005964
F41F3.7,WBGene00005964
srx-74,WBGene00005965
F41F3.6,WBGene00005965
srx-75,WBGene00005966
F41F3.5,WBGene00005966
srx-76,WBGene00005967
K12G11.5,WBGene00005967
srx-77,WBGene00005968
K03B4.5,WBGene00005968
srx-78,WBGene00005969
C01G10.3,WBGene00005969
srx-79,WBGene00005970
C01G10.2,WBGene00005970
srx-80,WBGene00005971
F43A11.4,WBGene00005971
srx-81,WBGene00005972
F43A11.5,WBGene00005972
srx-82,WBGene00005973
F43A11.6,WBGene00005973
srx-83,WBGene00005974
F43A11.7,WBGene00005974
srx-84,WBGene00005975
F35B12.1,WBGene00005975
srx-85,WBGene00005976
F38B7.4,WBGene00005976
srx-86,WBGene00005977
F38B7.7,WBGene00005977
srx-87,WBGene00005978
F38B7.8,WBGene00005978
srx-88,WBGene00005979
F43A11.1,WBGene00005979
srx-89,WBGene00005980
F43A11.3,WBGene00005980
srx-90,WBGene00005981
H12C20.5,WBGene00005981
srx-91,WBGene00005982
H12C20.4,WBGene00005982
srx-92,WBGene00005983
F10G2.6,WBGene00005983
srx-93,WBGene00005984
F59B1.3,WBGene00005984
srx-94,WBGene00005985
F59B1.5,WBGene00005985
srx-95,WBGene00005986
F41G3.11,WBGene00005986
srx-96,WBGene00005987
T01D3.4,WBGene00005987
srx-97,WBGene00005988
F19B10.7,WBGene00005988
srx-98,WBGene00005989
F19B10.8,WBGene00005989
srx-99,WBGene00005990
F19B10.12,WBGene00005990
srx-100,WBGene00005991
F40H7.3,WBGene00005991
srx-101,WBGene00005992
F40H7.4,WBGene00005992
srx-102,WBGene00005993
F40H7.5,WBGene00005993
srx-103,WBGene00005994
F40H7.11,WBGene00005994
srx-104,WBGene00005995
F40H7.7,WBGene00005995
srx-105,WBGene00005996
F40H7.8,WBGene00005996
srx-106,WBGene00005997
F40H7.9,WBGene00005997
srx-107,WBGene00005998
F40H7.10,WBGene00005998
srx-108,WBGene00005999
F40H7.2,WBGene00005999
srx-109,WBGene00006000
F40H7.1,WBGene00006000
srx-110,WBGene00006001
C46E10.6,WBGene00006001
srx-111,WBGene00006002
T24E12.4,WBGene00006002
srx-112,WBGene00006003
T24E12.8,WBGene00006003
srx-113,WBGene00006004
F56H9.1,WBGene00006004
srx-114,WBGene00006005
F07F6.9,WBGene00006005
srx-115,WBGene00006006
B0507.11,WBGene00006006
srx-116,WBGene00006007
W05B10.5,WBGene00006007
srx-117,WBGene00006008
C14C11.5,WBGene00006008
srx-118,WBGene00006009
T21B4.12,WBGene00006009
srx-119,WBGene00006010
F49C5.1,WBGene00006010
srx-120,WBGene00006011
F49C5.2,WBGene00006011
srx-121,WBGene00006012
C04E12.8,WBGene00006012
srx-122,WBGene00006013
F35F10.8,WBGene00006013
srx-123,WBGene00006014
K09H11.2,WBGene00006014
srx-124,WBGene00006015
K09H11.8,WBGene00006015
srx-125,WBGene00006016
F32H5.6,WBGene00006016
srx-126,WBGene00006017
T08G3.9,WBGene00006017
srx-127,WBGene00006018
R10D12.3,WBGene00006018
srx-128,WBGene00006019
F55B12.7,WBGene00006019
srx-129,WBGene00006020
F55B12.9,WBGene00006020
srx-130,WBGene00006021
F09F3.1,WBGene00006021
srx-131,WBGene00006022
F09F3.2,WBGene00006022
srx-132,WBGene00006023
F09F3.3,WBGene00006023
srx-133,WBGene00006024
F09F3.4,WBGene00006024
srx-134,WBGene00006025
F09F3.7,WBGene00006025
srx-135,WBGene00006026
F09F3.11,WBGene00006026
srx-136,WBGene00006027
F09F3.12,WBGene00006027
srx-137,WBGene00006028
F09F3.13,WBGene00006028
srx-138,WBGene00006029
T07H8.2,WBGene00006029
ssp-9,WBGene00006038
E03H12.10,WBGene00006038
ssp-10,WBGene00006039
K07F5.9,WBGene00006039
ssp-11,WBGene00006040
T28H11.6,WBGene00006040
ssp-16,WBGene00006044
T27A3.3,WBGene00006044
ssp-19,WBGene00006047
C55C2.2,WBGene00006047
ssp-31,WBGene00006048
ZK1225.6,WBGene00006048
ssp-32,WBGene00006049
F32B6.7,WBGene00006049
ssq-1,WBGene00006050
K07F5.11,WBGene00006050
ssq-2,WBGene00006051
T28H11.5,WBGene00006051
ssq-3,WBGene00006052
ZC477.1,WBGene00006052
ssq-4,WBGene00006053
T28H11.1,WBGene00006053
ssr-2,WBGene00006055
C14A11.7,WBGene00006055
sss-1,WBGene00006056
F32B6.5,WBGene00006056
sss-2,WBGene00006057
F47B8.11,WBGene00006057
sst-20,WBGene00006058
F54C1.9,WBGene00006058
stc-1,WBGene00006059
F54C9.2,WBGene00006059
sth-1,WBGene00006060
ZC513.12,WBGene00006060
stl-1,WBGene00006061
F30A10.5,WBGene00006061
stn-1,WBGene00006062
F30A10.8,WBGene00006062
sto-1,WBGene00006063
F08C6.4,WBGene00006063
sto-2,WBGene00006064
F32A6.5,WBGene00006064
sto-3,WBGene00006065
F52D10.5,WBGene00006065
sto-4,WBGene00006066
Y71H9A.3,WBGene00006066
sto-5,WBGene00006067
F41G4.3,WBGene00006067
sto-6,WBGene00006068
Y71H9A.2,WBGene00006068
str-1,WBGene00006069
C42D4.5,WBGene00006069
str-2,WBGene00006070
C50C10.7,WBGene00006070
str-3,WBGene00006071
M7.13,WBGene00006071
str-4,WBGene00006072
C50B6.10,WBGene00006072
str-5,WBGene00006073
T23D5.12,WBGene00006073
str-6,WBGene00006074
T23D5.10,WBGene00006074
str-7,WBGene00006075
F22B8.5,WBGene00006075
str-8,WBGene00006076
T23D5.11,WBGene00006076
str-9,WBGene00006077
F57A10.1,WBGene00006077
str-10,WBGene00006078
R03G8.5,WBGene00006078
str-11,WBGene00006079
Y73F8A.7,WBGene00006079
str-12,WBGene00006080
B0391.4,WBGene00006080
str-13,WBGene00006081
C24B9.8,WBGene00006081
str-14,WBGene00006082
T08G3.2,WBGene00006082
str-15,WBGene00006083
T08G3.1,WBGene00006083
str-16,WBGene00006084
Y73C8A.1,WBGene00006084
str-18,WBGene00006085
T23D5.6,WBGene00006085
str-19,WBGene00006086
T23D5.7,WBGene00006086
str-20,WBGene00006087
C05E4.2,WBGene00006087
str-21,WBGene00006088
C08F1.2,WBGene00006088
str-22,WBGene00006089
C08F1.7,WBGene00006089
str-23,WBGene00006090
C55A1.5,WBGene00006090
str-24,WBGene00006091
R13D7.9,WBGene00006091
str-25,WBGene00006092
F44G3.11,WBGene00006092
str-27,WBGene00006093
T23D5.1,WBGene00006093
str-28,WBGene00006094
F25E5.12,WBGene00006094
str-29,WBGene00006095
C18B10.9,WBGene00006095
str-30,WBGene00006096
T27C4.3,WBGene00006096
str-31,WBGene00006097
C54F6.10,WBGene00006097
str-32,WBGene00006098
T19H12.7,WBGene00006098
str-33,WBGene00006099
C24B9.1,WBGene00006099
str-34,WBGene00006100
T08H10.5,WBGene00006100
str-35,WBGene00006101
T08H10.2,WBGene00006101
str-37,WBGene00006102
C50B6.12,WBGene00006102
str-38,WBGene00006103
T23D5.2,WBGene00006103
str-39,WBGene00006104
F37B4.12,WBGene00006104
str-40,WBGene00006105
C50H11.12,WBGene00006105
str-41,WBGene00006106
R13D7.1,WBGene00006106
str-42,WBGene00006107
K09D9.5,WBGene00006107
str-43,WBGene00006108
T23D5.9,WBGene00006108
str-44,WBGene00006109
C42D4.4,WBGene00006109
str-45,WBGene00006110
T09F5.3,WBGene00006110
str-46,WBGene00006111
C31B8.6,WBGene00006111
str-47,WBGene00006112
F07C4.1,WBGene00006112
str-48,WBGene00006113
C34D4.8,WBGene00006113
str-49,WBGene00006114
C34D4.7,WBGene00006114
str-50,WBGene00006115
C34D4.16,WBGene00006115
str-51,WBGene00006116
C34D4.6,WBGene00006116
str-52,WBGene00006117
C45H4.12,WBGene00006117
str-53,WBGene00006118
T02B11.2,WBGene00006118
str-54,WBGene00006119
R11G11.15,WBGene00006119
str-55,WBGene00006120
F26D2.7,WBGene00006120
str-56,WBGene00006121
T06C12.3,WBGene00006121
str-57,WBGene00006122
T06C12.2,WBGene00006122
str-58,WBGene00006123
T28A11.8,WBGene00006123
str-60,WBGene00006124
T06C12.1,WBGene00006124
str-61,WBGene00006125
F14F8.1,WBGene00006125
str-63,WBGene00006126
